User_Name,User_Review_Count,Review_Content,Owners_Response
GAUTAM BUDHA,1 review,"Very good products👌
I purchased aluminium hand juicer
Which working awesome 👍","Hi sunil, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
SIDDIK PATEL.,2 reviews,This is very best cooperating and genuine support for my stuff...I'm highlly appreciate with them... thenks thenks a lot..,"Sorry to hear that,  Imran. We understand your concern about the recent purchase. Please share your order ID. Be assured, one of our specialists will get in touch with you over call or via email at the earliest to discuss this further."
Pardi Marak,2 reviews,"Good product, useful, good customer dealings, but unfortunately some problems faced with the logistic company.","Hi shaikh, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
sunil sukumaran,3 reviews,The product I brought from toolsvilla is of good standard and useful. I am happy with the product .,"Sorry about that, Lokesh Karanam. This isn't something we'd want you to experience. Please help us with your order ID. We assure you that we  will get back to you with an update at the earliest via call/email."
Imran Shariff,Local Guide ・11 reviews,"Extremely unprofessional. I ordered a grass cutter and the nylon wire cutter extension was missing. I wrote them an email, which was promptly replied asking me pictures of everything I recieved. I sent them the picture after which there was no response inspite of 4 followup emails from me. Will never order from them.","Hi Ilayakumaran, we appreciate you taking time out to leave an insightful review. Please share your order ID and our experts will contact you at the earliest."
shaikh mukhtar,1 review,Joice mekar  is a good kichan product and full usefull,"Hi shibani, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Lokesh Karanam Ramachandrarao,2 reviews,"Basically not satisfied with the response.
Once the product payment is done... There is no updates on status and no info on the details to mobile or email ids.

Connecting to customer care is itself a night mare. Customer support team is …","Hi Jagat, thanks for such a positive review! We're thrilled to know that you like our Brush Cutter. Happy shopping!"
Zaki Sayyad,Local Guide ・25 reviews,Delivery was on time with no damage..  product is working fine.  Very much affordable price. Only improvisation needed is that the Company need to work more on after sales support.,"Hi venkata, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Ilayakumaran S,2 reviews,"I have ordered brush cutter on Dec1 and it was received on dec 13.. The packing was very worstly packed. I have once again packed by myself and then taken it from the delivery office. When i open the package, many accessories are missing. I …","Sorry to hear that, Bhoopendra. We understand your concern and would like to help you. Thank you for sharing your order ID. We will have this checked and get this addressed at the earliest."
Kaushik Sharma,1 review,I had purchased brush cutter....it's was a wonderful experience. Initially I was told the product will be delivered in 15days but it reached in 7 days. The equipment is also working fine. A big big appreciation to the entire team of tools Villa.,"Sorry to hear that, rajesh. We understand your concern and would like to help you. Please help us with the order ID so that we can have this checked and get this addressed at the earliest."
Chandan Sharma,1 review,This product very good &useful for wood working IAM happy use this,Thank you sir. We are so happy to delight you!
shibani Nelson,Local Guide ・127 reviews,"I have purchased 2 manual weed sprayers from this company , their quality is excellent .","Hi Jagat, thanks for such a positive review. Please share your order ID so that we can suggest the perfect solution for you. Happy shopping!"
Deepak Chaudhary,1 review,"I am very happy with Mikita Grass trimmer. It within no time trims the big grasses even weeds and make your lawn beautiful. The labour cost is saved to such an extent that ROI will be in a year.
I am fully satisfied with this machine.","Hi Mohamed, we appreciate you taking time out to leave an insightful review. As we're building our business, we are developing ourselves every single day. We hope the next time you won't have to complain about anything!"
E Prabakaran,4 reviews,Good performance machine brush cutter is good working  buying from tools villa,"Hi Bhavesh, this is not something we'd want you to experience. Please share your order ID and we'll get back to you at the earliest."
venkata srinivas Atluri,16 reviews,This is a nice product. Using electricity this is very good product,Sorry for the bad experience sir. This is not the kind of experience we wish to offer to our customers. We are getting this checked & our team would be getting in touch with you soon!
Bhoopendra Singh Baliyan,1 review,"Bad experience with tools villa, I have ordered a premium quality tool kit with drill machine but they send a very poor quality tool kit and drill machine, the Chuck of drill is jam and not able to move to fix the bit inside,  now saying …","Hi Bhaskar, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Vikrant Baweja,1 review,"I had purchased Makita Lawn Mower from Tools Villa. Timely delivery and genuine product received and is working fine.
Thanks a lot Tools Villa. Good work Keep it up.","Hi Ashlesh, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
rajesh chukkapalli,3 reviews,Fake admi galthi pura don't wast your money and Time,"Hi Arun, we appreciate you taking time out to leave an insightful review. Thank you for choosing Toolsvilla. We hope to see you again soon!"
Deepak Singh,1 review,Very good product and workmanship. Great for vegetable farms and for creating furrows in soil. A must for small farmers,"Hi, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Jayaraman Desu,1 review,I have purchased 12v 12ah battery sprayer & mist blower from toolsvilla. It was really working good without any issues. It was delivered before expected delivery date. Product quality is really good.,"Sorry about that, Singh Sunanda. This isn't something we'd want you to experience. Please help us with your order ID. We assure you that we  will get back to you with an update at the earliest via call/email."
Soman Raj,1 review,Thank you so much... I liked the product and quality. Also I used it several times. It is very light weight and can easily handle.... Delivery was also very fast... I recommend this product to everyone......,"Hi SHREE, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Jagat Yamdagni,10 reviews,"I bought the manual seeder, Great equipment, but need something for smaller seeds as I sometimes use small seeds and not able to get it working. An update or small roller for the equipment is needed","Hi Vikas, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Mohamed mahir,Local Guide ・19 reviews,"Received parcel after one month, because in the address, they just put name and place name not full address, so Delhivery guys won't deliver to home address. Delihvery guys from local branch said they won't deliver if we don't pickup their …","Hi Sobhan, we appreciate you taking time out to leave an insightful review. As we're building our business, we are developing ourselves every single day. We hope the next time you won't have to complain about anything!"
Bhavesh patel,Local Guide ・34 reviews,"Third class company, employ and third class product.

Never purchase from toolsvilla. Cheater company. They will send defective product and no return.

If you purchase from toolsvilla,  your heart always burn.","Hi Anish, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Ravikumar S M Tarikere.,Local Guide ・17 reviews,"I had ordered ""Agni A1706 Bench Drill Machine 13mm, 350W, 2800RPM"" on 9th July 2020 with Order ID 11026523. It was delivered on 14th July 2020. We found that the machine is inefficient to drill on Aluminium. Hence we raised the complaint on …","Sorry to hear that, surendar.  We understand your concern about the recent purchase. Be assured, one of our specialists will get in touch with you over the call or via email at the earliest to discuss this further."
Guru Reddy,12 reviews,"For such reasonable price machine it's wonderful, It's for my hobby workshop ot can drill max 12mm that's enough for me, I used it couple of times it works well it's sufficient for me.please use cutting oil while drilling  and don't apply too much pressure , you won't be disappointed.","Hi kamala, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Bhaskar Reddy Bandi,8 reviews,Service of Tools villa is good. The product which I purchased paddy cutter side pack has heavy weight on hands but suggested Backpack....,"Hi Ravi, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Leejo Thomas,3 reviews,I have purchased table top drill. It is operating well. There is no issues related this product. Thank you tools villa.,"Dear Snehlata, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. We will use the feedback to make us better and to ensure this doesn’t happen again. So thanks for your kind words and we look forward to seeing you again."
Vinod Patil,3 reviews,"Nice shopping experience.
Ontime delivery. I have purchased Jonaki mist blower attachment for battery operated sprayer. It's working fine","Hi, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Fabien GUERIN,3 reviews,"Fast delivery.
Products are good.
I am mainly using the welding machine and I am satisfied with it.
Very good ratio price/quality.","Hi Raju, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Ashlesh nayak,1 review,The brush cutter is very well i am very happy for using toolsvilla brush cutter💖😍😍😍😍,"Hi satty, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Mohd Nooruddin Siddique,1 review,Ordered a manual juicer machine from toolsvilla. It's working like a charm. It was my first experience with toolsvilla & it was wonderful.,"Apologies for the inconvenience Sir. Due to the COVID pandemic we are working with limited support staff and in some cases the resolutions are being delayed. Please share your order number so that our team can contact you asap.
- Support Team
(0343-6610100)"
Arun Sreenivas,2 reviews,Got a call for confirmation of the product purchased and gave a brief again regarding the product purchased. Delivery was on time. Good experience overall.,Thank you Sir. Means a lot!
Rajesh Khosla,2 reviews,Very good product and workmanship. Great for vegetable farms and for creating furrows in soil. A must for small farmers,"Apologies for the inconvenience Sir. Due to the COVID pandemic the West Bengal state had a consecutive lockdown for the last two days & therefore our call centre wasn't operational. Please share your order number so that our team can contact you asap.
- Support Team
(0343-6610100)"
Achintya Ghosh,Local Guide ・35 reviews,Ordered a cement plaster machine from toolsvilla totally satisfied. They provide you a good quality product at a reasonable cost... Go check there website & thank me later... 😊,"Sorry about that, kiriti. This isn't something we'd want you to experience. Please help us with your order ID. We assure you that we will get back to you with an update at the earliest via call/email."
JAI MAA TARINI UDYOG,1 review,"Very good qualit
Very good service","Hi Gagan, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Singh Sunanda devi,1 review,I m very disappointed by Toolsvilla. Its was my first and last order from toolvilla .I brought juicer machine and was not good equality and they mention 7 days replacement but they don't. They don't take any product and not even refund …,"Apologies for the inconvenience Sir. Due to the COVID pandemic we are working with limited support staff and in some cases the resolutions are being delayed. Please share your order number so that our team can contact you asap.
- Support Team
(0343-6610100)"
prasanna venkatesan,1 review,"Bought Kalsi manual hand press juicer. Product delivered on time. Wonderful product for mosambi, orange and pomegranate. Very sturdy. Using it daily and works excellent. Very easy to clean as well.","Hi Sperry, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Curvature Rims,1 review,"On-time delivery of the product , packaging is also good.At  this price range product is best . It an absolute value for money.
Thanks toolsvilla keep it up.",Thank you Sir!
Rising SUN,Local Guide ・14 reviews,It's a good place to purchase agri machineries. Purchased one mini tiller for my brother. It's working fine,"Apologies for the inconvenience Sir. Due to the COVID pandemic we are working with limited support staff and in some cases the resolutions are being delayed. Please share your order number so that our team can contact you asap.
- Support Team
(0343-6610100)"
SHREE SERVICES,2 reviews,nice product and service thankssss toolsvilla,"Apologies for the inconvenience Sir. Due to the COVID pandemic we are working with limited support staff and in some cases the resolutions are being delayed. Please share your order number so that our team can contact you asap.
- Support Team
(0343-6610100)"
Saseendran Unni,2 reviews,This machine is a boon to women in kitchen. Pperformance is fantastic. The hand operated grinding machine is an essential one in every home kitchens.,"Dear Md Farhan Hussain, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Gelie Jini,1 review,"Thanx, toolsvilla for your fine services. My agricultural mini garden tiller reached in time. And its good.","Hi EXTREME, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Vikas Maheshwari,1 review,"Good service , product  and rate .","Hi Ramamohan, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Vishal Attri,1 review,Well machine is very good and it's far from my thinking it is too good and I suggest if someone is looking for welding machine so you have to choose that one it is very good and it's is very efficient for heavy duty work  and My father love this one ❤️,Thank you Sir. This Feedback is a great morale booster!
Sobhan Babu,1 review,"Product same as shown in pictures, comparatively  better than available on other popular websites. Though takes a little  longer deluvered before promised date","Apologies for the inconvenience Sir. Due to the COVID pandemic we are working with limited support staff and in some cases the resolutions are being delayed. Please share your order number so that our team can contact you asap.
- Support Team
(0343-6610100)"
Dr.Raja S Paul,2 reviews,I bought one Pithe manual Grinder from Toolsvilla.Prompt delivery. It is a excellent one. Working well. I recommend for others to purchase.,"Apologies for the inconvenience Sir. Due to the COVID pandemic we are working with limited support staff and in some cases the resolutions are being delayed. Please share your order number so that our team can contact you asap.
- Support Team
(0343-6610100)"
Mauryaiitk Maurya,1 review,Excellent experience with juicer machine. I used several time. User friendly very easy to operate this machine.,Thank you Sir!
PAL B,Local Guide ・144 reviews,I bought a bag closure sewing machine from Toolsvilla. It was for affordable price and the delivery was in time. I was very satisfied.,"Hi SANTHAJI, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
B-D ONE YT,Local Guide ・12 reviews,"Good experience working with the tool.. satisfied with it.
Thank you tools villa","Dear Jayendra, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Barsat Entertainment Vlog,1 review,"It is a very good product. It is a multi purpose product.I am using it as a Garden Sprayer, spray insecticides, pesticides, fungicides, herbicides etc for a wide variety of solutions like pesticide, fertilizer, water, disinfectant and also use in home for my bike water servicing.","Dear Ravikantha, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Jaydeep Ravani,154 reviews,I Bought Jonaki Atomizer Blower Attachment for Battery Sprayer last month From Toolsvilla the quality and work of the product is Worthy and suggest this tool for that farmers who will farming the products like Cotton which height is More Than 6 feet this will helpful for that and this is The Ideal SmartWork for farming.,"Sir, we are really sorry about the inconvenience caused. Due to the ongoing pandemic the shipments were not being accepted by the transportation companies. Please share your order number & our team will resolve your issue at the earliest. Thanks!"
fazley kassim,Local Guide ・2 reviews,"Dont trust this site..Fully frauds..
Recently I ordered circular saw its very low quality product.","Hi Sathish, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Pinnacle business Associates,Local Guide ・8 reviews,"Item Good. worth it... but botum of the base plastic...in my expectations reach that item 70%
Not bad...good item","Dear Jodhasingh, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Anish M,1 review,It is a very nice useful product and like it very much,"Hi Babu, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Sudhir Navathe,Local Guide ・110 reviews,Good service and trustworthy reliable quality products. I purchased Kisan kraft PPDE 71 Earth auger. They delivered original products. Product working satisfactorily.,"Dear Ankit, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Aswani Amitav,1 review,Ohh this is a very good machine. Greatful to Toolsvilla.,"Hi Srinivasarao, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Shafeeq Khan,3 reviews,Good product.at the best price.customer support is very good thanks tools villas' staff,"Dear Richard, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
yousuf mohamed kutty,3 reviews,"I feel very sad when I opened my air compressor box and found the air pressure guage broken, this means very poor package and handling by courier services I am totally not satisfied with online shopping with toolsvilla organisation","Dear Mr. Rakesh, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day.We will use the feedback to make the products more user friendly.” So thanks for your kind words and we look forward to seeing you again."
Navneet Patel,1 review,I have purchased kalsi juicer working good. Delivery on time and in good condition.used since two month working good.,"Hi GITA, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Suresh Babu,2 reviews,Toolsvilla is a good on line store.The item I ordered delivered on time and the price was very competative in the market.,"Dear Sir/Madam, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
satya koneru,19 reviews,"I don't see any issue,. Works fine for me 👍 house use only though and I mostly used for groundnut and black til","Dear Guru, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Yash Jagtap,1 review,The product was very nice. I brought the machine 1 month ago and it's still working.,"Dear Sachin, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Pradip Roy,1 review,"Really toolsvilla product is good  for our requirement. Tools villa customer care service is also very  responsive, very cooperative and helpful.
With thanks,
Pradip kumar Roy.","Dear Prabhakar, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Dhiru Lal,1 review,This company have no idea how do deliver our products in timely. Nothing value of time.. forst time i am book order and 5 days before delivery date my product was not my hand.,"Dear Sir, we are sorry for the poor experience that you had with us. Requesting you to share the order ID so that our support team can look into it at the earliest. You can also mail us on info@toolsvilla.com"
deepak pinto,1 review,"Excellent power wash machine , great service from toolsvilla. Very happy experience","Dear Avinash, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
HEMANT PATEL,Local Guide ・22 reviews,Delivery was before time dated and the product was also of very nice quality I was Happy with the product in this price range,"Dear Prahallad, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
anil shrivastava,1 review,"Very good product and service, better than offline market, very trustworthy, and prize is also very justifiable, must buy agricultural  products from toolsvilla.","Dear Raj, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
surendar Bhimanathini,Local Guide ・15 reviews,"They haven't shipped my product since 15days, cannot connect call centre number, no response from support team","Dear Prabu, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Raghavendra Achuri,4 reviews,Good experience with the site. Problem with one part and they replaced without any issues. Guided through what's app as I don't know how to setup for drill. Only one issue is shipping is late ofcourse bas they mentioned.,"Dear Joseph, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
kamala davanam,1 review,Good product & service...happy customer.,"Apologies for the inconvenience Sir. Due to the COVID pandemic we are working with limited support staff and in some cases the resolutions are being delayed. Please share your order number so that our team can contact you asap.
- Support Team
(0343-6610100)"
Sujan Kumar,2 reviews,"Very nice site ,to get nice products at a good price . I also appreciate the service that have provided, thanks tools villa","Hi KIRON, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Santosh Tambe,1 review,"Tools are better & convineant for day to day use, only the thing that a little prospects/pumplet should be provided containing guidance about handling of other given accessories","Dear Mr. Pannala, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
manukonda ramireddy,4 reviews,"I have buy hand weeder from toolsvilla, it is very good product working well, but price is little bit high","Dear Ramnik, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. We will use the feedback to make us better. So thanks for your kind words and we look forward to seeing you again."
Daniel Idukki,1 review,"The machinery is ok.. one thing to be noted...sometimes there is a problem... that is in the starti ng of spraying  so many minutes /time required to start the  flow /spraying.. that is, sometimes it is very difficult to start the suction of liquid/water.","Hi FLP, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Kuppurao Anand,1 review,Good machine. They should consider giving spare locking key,"Hi Nk, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
DeePak Kerketta,Local Guide ・12 reviews,"This is a portable but very useful tool for home use, you can grind all types of dal, chattney, spice and many more herbal medicines etc.
Customer support service is also very responsible.
You may go for it without any hesitation.",Thank you for you kind words Sir. We are happy to delight you!
Dhiraj Priya,Local Guide ・30 reviews,pulverizer machine & 3HP motor working good.. Delivered products as per expectation. Thank you for your service.,"Dear Vinod, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Singh,3 reviews,Bought a drilling machine. Box was broken but the machine is working fine.,"Dear Ravi, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Narayanan Krishna Pillai,1 review,"I purchased a Round Type Tiller Attachment for Brush Cutter, 28mm Shaft Size Model No SKU: SAC-TA-861 on 15 Jul 2020 for my Kisankraft 42CC Brush cutter. It was priced at Rs.2860/- Truly it is a worthful product. It's blades are with strong …",Thank you Sir. We are so happy to delight you!
chandrakant patil,1 review,"Nice machine & tool kit.
I am very happy.",Thank you Sir. Glad you liked our service!
Satish Kumar S,3 reviews,Excellent communication and support and timely delivery. Thanks to Toolsvilla.,"Hi abhimanyu, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Ravi Kumar,1 review,Good place to explore required tools 👍,"Hi magic, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
RAGHAVENDRA SHETTY,Local Guide ・4 reviews,This is non comparable high presure mechine Fentastic result 👌,"Dear Hemant, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Snehlata Meshram,1 review,I have ordered heavy duty brush cutter machine. It is value for money. The employees of the company are very polite and gives the good response. Delivery is on time. As far as machine is concerned it is good. However the petrol pipes are …,"Apologies for the inconvenience Sir. Due to the COVID pandemic we are working with limited support staff and in some cases the resolutions are being delayed. Please share your order number so that our team can contact you asap.
- Support Team
(0343-6610100)"
